test 20 201900800123 男 20001223 山大 123456789 cdcdcdcdcdcdcdcd@qq.com 99
acb 18 201900800534 男 20010128 湖南 15004764967 494965817@qq.com 60
aca 18 201900800533 男 20010128 湖南 15004764967 494965817@qq.com 59
abb 18 201900800531 男 20010128 湖南 15004764967 494965817@qq.com 57
def 17 201900800222 女 20010723 shanda 18812345678 ababababababab@qq.com 56
aba 18 201900800530 男 20010128 湖南 15004764967 494965817@qq.com 56
zyk 20 201900800507 男 20010127 内蒙 15000000000 494965817@qq.com 55
aac 18 201900800529 男 20010128 湖南 15004764967 494965817@qq.com 55
aab 18 201900800528 男 20010128 湖南 15004764967 494965817@qq.com 54
aaa 18 201900800527 男 20010128 湖南 15004764967 494965817@qq.com 53
zyg 18 201900800526 男 20010128 湖南 15004764967 494965817@qq.com 52
李四 18 201900800525 男 20010128 湖南 15004764967 494965817@qq.com 51
yyd 20 201900800616 男 20010129 山东 15004764966 494965817@qq.com 50
张三 18 201900800524 男 20010128 湖南 15004764967 494965817@qq.com 49
张三 18 201900800524 男 20010128 湖南 15004764967 494965817@qq.com 49
